term,Jamo,alphabet
아시며,ㅇㅏㅅㅣㅁㅕ,DKTLAU
아야지,ㅇㅏㅇㅑㅈㅣ,DKDIWL
아지라,ㅇㅏㅈㅣㄹㅏ,DKWLFK
안게,ㅇㅏㄴㄱㅓㅣ,DKSRJL
안에,ㅇㅏㄴㅇㅓㅣ,DKSDJL
암직,ㅇㅏㅁㅈㅣㄱ,DKAWLR
았자,ㅇㅏㅅㅅㅈㅏ,DKTTWK
앙근,ㅇㅏㅇㄱㅡㄴ,DKDRMS
앳고,ㅇㅏㅣㅅㄱㅗ,DKLTRH
야니오,ㅇㅑㄴㅣㅇㅗ,DISLDH
야리아,ㅇㅑㄹㅣㅇㅏ,DIFLDK
야리여,ㅇㅑㄹㅣㅇㅕ,DIFLDU
야쇼라,ㅇㅑㅅㅛㄹㅏ,DITYFK
야시뇨,ㅇㅑㅅㅣㄴㅛ,DITLSY
야시니,ㅇㅑㅅㅣㄴㅣ,DITLSL
야시라,ㅇㅑㅅㅣㄹㅏ,DITLFK
야지라,ㅇㅑㅈㅣㄹㅏ,DIWLFK
얌즉,ㅇㅑㅁㅈㅡㄱ,DIAWMR
얌직,ㅇㅑㅁㅈㅣㄱ,DIAWLR
어다가,ㅇㅓㄷㅏㄱㅏ,DJEKRK
어라우,ㅇㅓㄹㅏㅇㅜ,DJFKDN
어리아,ㅇㅓㄹㅣㅇㅏ,DJFLDK
어리여,ㅇㅓㄹㅣㅇㅕ,DJFLDU
어셔도,ㅇㅓㅅㅕㄷㅗ,DJTUEH
어슈라,ㅇㅓㅅㅠㄹㅏ,DJTBFK
어스라,ㅇㅓㅅㅡㄹㅏ,DJTMFK
어시니,ㅇㅓㅅㅣㄴㅣ,DJTLSL
어시요,ㅇㅓㅅㅣㅇㅛ,DJTLDY
어야지,ㅇㅓㅇㅑㅈㅣ,DJDIWL
어이니,ㅇㅓㅇㅣㄴㅣ,DJDLSL
언든,ㅇㅓㄴㄷㅡㄴ,DJSEMS
언만,ㅇㅓㄴㅁㅏㄴ,DJSAKS
언정,ㅇㅓㄴㅈㅓㅇ,DJSWJD
엄즉,ㅇㅓㅁㅈㅡㄱ,DJAWMR
